model,problem_id,problem_name,timestamp,correctness_passed,correctness_pass_rate,tests_passed,tests_total,syntax_error,runtime_error,avg_runtime_ms,peak_memory_kb,runtime_score,memory_score,efficiency_score,time_complexity,space_complexity,overall_score,needs_human_validation,ai_response,extracted_code,api_latency_ms
gemini,1,Two Sum,2025-11-27T08:03:46.681328,True,1.0,3,3,,,0.020800007041543722,25.5341796875,99.82666660798714,97.87215169270833,99.04486064187562,O(1),O(n),99.61794425675025,False,"```python
def twoSum(nums: list[int], target: int) -> list[int]:
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
    """"""
    num_map = {}
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_map:
            return [num_map[complement], index]
        num_map[num] = index
    return []
```","def twoSum(nums: list[int], target: int) -> list[int]:
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
    """"""
    num_map = {}
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_map:
            return [num_map[complement], index]
        num_map[num] = index
    return []",1324.6146999881603
gpt,1,Two Sum,2025-11-27T08:03:51.539969,True,1.0,3,3,,,0.018973334226757288,25.5341796875,99.8418888814437,97.87215169270833,99.05399400594955,O(1),O(n),99.62159760237982,True,"```python
def twoSum(nums, target):
    num_to_index = {}
    
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_to_index:
            return [num_to_index[complement], index]
        num_to_index[num] = index
    
    return []
```","def twoSum(nums, target):
    num_to_index = {}
    
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_to_index:
            return [num_to_index[complement], index]
        num_to_index[num] = index
    
    return []",2956.5958000021055
gemini,20,Valid Parentheses,2025-11-27T08:03:54.904953,True,1.0,5,5,,,0.02214400563389063,25.537109375,99.81546661971758,97.87190755208333,99.03804299266389,O(n),O(n),99.61521719706556,False,"```python
def isValid(s: str) -> bool:
    """"""
    Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

    An input string is valid if:

    Open brackets must be closed by the same type of brackets.
    Open brackets must be closed in the correct order.
    Every close bracket has a corresponding open bracket of the same type.

    Args:
        s (str): The input string containing parentheses.

    Returns:
        bool: True if the input string is valid, False otherwise.
    """"""
    stack = []
    mapping = {"")"": ""("", ""}"": ""{"", ""]"": ""[""}
    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)
    return not stack
```","def isValid(s: str) -> bool:
    """"""
    Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

    An input string is valid if:

    Open brackets must be closed by the same type of brackets.
    Open brackets must be closed in the correct order.
    Every close bracket has a corresponding open bracket of the same type.

    Args:
        s (str): The input string containing parentheses.

    Returns:
        bool: True if the i",1798.930399992969
gpt,20,Valid Parentheses,2025-11-27T08:03:58.931516,True,1.0,5,5,,,0.020368006080389023,25.537109375,99.83026661599676,97.87190755208333,99.0469229904314,O(n),O(n),99.61876919617256,False,"```python
def isValid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack
```","def isValid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack",2454.5977999805473
gemini,21,Merge Two Sorted Lists,2025-11-27T08:04:01.544491,False,0.0,0,3,,,0,0,0,0,0,N/A,N/A,0.0,True,"```python
# Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

class Solution:
    def mergeTwoLists(self, list1: Optional[ListNode], list2: Optional[ListNode]) -> Optional[ListNode]:
        """"""Merges two sorted linked lists.

        Args:
            list1: The head of the first sorted linked list.
            list2: The head of the second sorted linked list.

        Returns:
            The head of the merged sorted linked list.
        """"""

        dummy = ListNode()
        tail = dummy

        while list1 and list2:
            if list1.val <= list2.val:
                tail.next = list1
                list1 = list1.next
            else:
                tail.next = list2
                list2 = list2.next
            tail = tail.next

        if list1:
            tail.next = list1
        elif list2:
            tail.next = list2

        return dummy.next

from typing import Optional","# Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

class Solution:
    def mergeTwoLists(self, list1: Optional[ListNode], list2: Optional[ListNode]) -> Optional[ListNode]:
        """"""Merges two sorted linked lists.

        Args:
            list1: The head of the first sorted linked list.
            list2: The head of the second sorted linked list.

        Returns:
            The head of the merged s",2272.402099973988
gpt,21,Merge Two Sorted Lists,2025-11-27T08:04:07.342822,False,0.3333333333333333,1,3,,,0,0,0,0,0,N/A,N/A,20.0,True,"```python
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def mergeTwoLists(l1: ListNode, l2: ListNode) -> ListNode:
    # Create a dummy node to simplify the merging process
    dummy = ListNode()
    current = dummy
    
    # Traverse both lists and append the smaller value to the merged list
    while l1 and l2:
        if l1.val < l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
            l2 = l2.next
        current = current.next
    
    # If there are remaining nodes in either list, append them
    if l1:
        current.next = l1
    elif l2:
        current.next = l2
    
    # Return the merged list, which starts from the next of the dummy node
    return dummy.next
```","class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def mergeTwoLists(l1: ListNode, l2: ListNode) -> ListNode:
    # Create a dummy node to simplify the merging process
    dummy = ListNode()
    current = dummy
    
    # Traverse both lists and append the smaller value to the merged list
    while l1 and l2:
        if l1.val < l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
      ",5485.405900049955
gemini,15,3Sum,2025-11-27T08:04:10.631876,True,1.0,3,3,,,0.023906670200328033,25.5400390625,99.8007777483306,97.87166341145833,99.02913201358169,O(n log n),O(1),99.61165280543267,False,"```python
def threeSum(nums):
    """"""
    Finds all unique triplets in the given array that sum to zero.

    Args:
        nums (list[int]): A list of integers.

    Returns:
        list[list[int]]: A list of unique triplets that sum to zero.
    """"""
    n = len(nums)
    nums.sort()
    result = []

    for i in range(n - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue

        left = i + 1
        right = n - 1

        while left < right:
            sum_val = nums[i] + nums[left] + nums[right]

            if sum_val == 0:
                result.append([nums[i], nums[left], nums[right]])

                # Skip duplicate values for the second element
                while left < right and nums[left] == nums[left + 1]:
                    left += 1
                # Skip duplicate values for the third element
                while left < right and nums[right] == nums[right - 1]:
                    right -","def threeSum(nums):
    """"""
    Finds all unique triplets in the given array that sum to zero.

    Args:
        nums (list[int]): A list of integers.

    Returns:
        list[list[int]]: A list of unique triplets that sum to zero.
    """"""
    n = len(nums)
    nums.sort()
    result = []

    for i in range(n - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue

        left = i + 1
        right = n - 1

        while ",2368.0403000325896
gpt,15,3Sum,2025-11-27T08:04:18.941819,True,1.0,3,3,,,0.02380667331938942,25.5400390625,99.80161105567176,97.87166341145833,99.02963199798639,O(n log n),O(1),99.61185279919457,False,"Here is a clean and efficient solution for the 3Sum problem:

```python
from typing import List

def threeSum(nums: List[int]) -> List[List[int]]:
    nums.sort()
    result = []
    n = len(nums)

    for i in range(n):
        if i > 0 and nums[i] == nums[i - 1]:
            continue  # Skip duplicate values for the first number

        left, right = i + 1, n - 1
        while left < right:
            total = nums[i] + nums[left] + nums[right]
            if total < 0:
                left += 1
            elif total > 0:
                right -= 1
            else:
                result.append([nums[i], nums[left], nums[right]])
                while left < right and nums[left] == nums[left + 1]:
                    left += 1  # Skip duplicate values for the second number
                while left < right and nums[right] == nums[right - 1]:
                    right -= 1  # Skip duplicate values for the third number
                left += 1
                right -= 1

    retur","from typing import List

def threeSum(nums: List[int]) -> List[List[int]]:
    nums.sort()
    result = []
    n = len(nums)

    for i in range(n):
        if i > 0 and nums[i] == nums[i - 1]:
            continue  # Skip duplicate values for the first number

        left, right = i + 1, n - 1
        while left < right:
            total = nums[i] + nums[left] + nums[right]
            if total < 0:
                left += 1
            elif total > 0:
                right -= 1
            e",7322.146699996665
gemini,5,Longest Palindromic Substring,2025-11-27T08:04:21.728871,True,1.0,3,3,,,0.023126664261023205,25.56640625,99.80727779782481,97.86946614583333,99.03215313702822,O(2^n) or O(n!),O(n),99.61286125481129,False,"```python
def longestPalindrome(s: str) -> str:
    """"""
    Given a string s, return the longest palindromic substring in s.
    """"""
    if not s:
        return """"

    n = len(s)
    if n == 1:
        return s

    longest = """"

    def expand_around_center(left, right):
        while left >= 0 and right < n and s[left] == s[right]:
            left -= 1
            right += 1
        return s[left + 1:right]

    for i in range(n):
        # Odd length palindromes
        palindrome1 = expand_around_center(i, i)
        if len(palindrome1) > len(longest):
            longest = palindrome1

        # Even length palindromes
        palindrome2 = expand_around_center(i, i + 1)
        if len(palindrome2) > len(longest):
            longest = palindrome2

    return longest
```","def longestPalindrome(s: str) -> str:
    """"""
    Given a string s, return the longest palindromic substring in s.
    """"""
    if not s:
        return """"

    n = len(s)
    if n == 1:
        return s

    longest = """"

    def expand_around_center(left, right):
        while left >= 0 and right < n and s[left] == s[right]:
            left -= 1
            right += 1
        return s[left + 1:right]

    for i in range(n):
        # Odd length palindromes
        palindrome1 = expand_around_c",1859.4003000180237
gpt,5,Longest Palindromic Substring,2025-11-27T08:04:27.578483,False,0.6666666666666666,2,3,,,0,0,0,0,0,N/A,N/A,40.0,True,"```python
def longestPalindrome(s: str) -> str:
    if len(s) < 2:
        return s

    start, end = 0, 0

    for i in range(len(s)):
        len1 = expandAroundCenter(s, i, i)    # Odd length palindromes
        len2 = expandAroundCenter(s, i, i + 1)  # Even length palindromes
        max_len = max(len1, len2)

        if max_len > end - start:
            start = i - (max_len - 1) // 2
            end = i + max_len // 2

    return s[start:end + 1]

def expandAroundCenter(s: str, left: int, right: int) -> int:
    while left >= 0 and right < len(s) and s[left] == s[right]:
        left -= 1
        right += 1
    return right - left - 1
```","def longestPalindrome(s: str) -> str:
    if len(s) < 2:
        return s

    start, end = 0, 0

    for i in range(len(s)):
        len1 = expandAroundCenter(s, i, i)    # Odd length palindromes
        len2 = expandAroundCenter(s, i, i + 1)  # Even length palindromes
        max_len = max(len1, len2)

        if max_len > end - start:
            start = i - (max_len - 1) // 2
            end = i + max_len // 2

    return s[start:end + 1]

def expandAroundCenter(s: str, left: int, right: int",5541.021600016393
